original_filename	new_filename	item_id	canonical_name	status	kind
035.png	0035_Energy_Root.png	35	Energy Root	canonical	Pokemon item
036.png	0036_Heal_Powder.png	36	Heal Powder	canonical	Pokemon item
037.png	0037_Revival_Herb.png	37	Revival Herb	canonical	Pokemon item
038.png	0038_Ether.png	38	Ether	canonical	Pokemon item
039.png	0039_Max_Ether.png	39	Max Ether	canonical	Pokemon item
040.png	0040_Elixir.png	40	Elixir	canonical	Pokemon item
041.png	0041_Max_Elixir.png	41	Max Elixir	canonical	Pokemon item
042.png	0042_Lava_Cookie.png	42	Lava Cookie	canonical	Pokemon item
043.png	0043_Berry_Juice.png	43	Berry Juice	canonical	Pokemon item
044.png	0044_Sacred_Ash.png	44	Sacred Ash	canonical	Pokemon item
045.png	0045_HP_Up.png	45	HP Up	canonical	Pokemon item
046.png	0046_Protein.png	46	Protein	canonical	Pokemon item
047.png	0047_Iron.png	47	Iron	canonical	Pokemon item
048.png	0048_Carbos.png	48	Carbos	canonical	Pokemon item
049.png	0049_Calcium.png	49	Calcium	canonical	Pokemon item
050.png	0050_Rare_Candy.png	50	Rare Candy	canonical	Pokemon item
051.png	0051_PP_Up.png	51	PP Up	canonical	Pokemon item
052.png	0052_Zinc.png	52	Zinc	canonical	Pokemon item
053.png	0053_PP_Max.png	53	PP Max	canonical	Pokemon item
054.png	0054_Old_Gateau.png	54	Old Gateau	canonical	Pokemon item
055.png	0055_Guard_Spec.png	55	Guard Spec.	canonical	Pokemon item
056.png	0056_Dire_Hit.png	56	Dire Hit	canonical	Pokemon item
057.png	0057_X_Attack.png	57	X Attack	canonical	Pokemon item
058.png	0058_X_Defense.png	58	X Defense	canonical	Pokemon item
059.png	0059_X_Speed.png	59	X Speed	canonical	Pokemon item
060.png	0060_X_Accuracy.png	60	X Accuracy	canonical	Pokemon item
061.png	0061_X_Sp_Atk.png	61	X Sp. Atk	canonical	Pokemon item
062.png	0062_X_Sp_Def.png	62	X Sp. Def	canonical	Pokemon item
063.png	0063_Poke_Doll.png	63	Poké Doll	canonical	Pokemon item
064.png	0064_Fluffy_Tail.png	64	Fluffy Tail	canonical	Pokemon item
065.png	0065_Blue_Flute.png	65	Blue Flute	canonical	Pokemon item
066.png	0066_Yellow_Flute.png	66	Yellow Flute	canonical	Pokemon item
067.png	0067_Red_Flute.png	67	Red Flute	canonical	Pokemon item
068.png	0068_Black_Flute.png	68	Black Flute	canonical	Pokemon item
069.png	0069_White_Flute.png	69	White Flute	canonical	Pokemon item
070.png	0070_Shoal_Salt.png	70	Shoal Salt	canonical	Pokemon item
071.png	0071_Shoal_Shell.png	71	Shoal Shell	canonical	Pokemon item
072.png	0072_Red_Shard.png	72	Red Shard	canonical	Pokemon item
073.png	0073_Blue_Shard.png	73	Blue Shard	canonical	Pokemon item
074.png	0074_Yellow_Shard.png	74	Yellow Shard	canonical	Pokemon item
075.png	0075_Green_Shard.png	75	Green Shard	canonical	Pokemon item
076.png	0076_Super_Repel.png	76	Super Repel	canonical	Pokemon item
077.png	0077_Max_Repel.png	77	Max Repel	canonical	Pokemon item
078.png	0078_Escape_Rope.png	78	Escape Rope	canonical	Pokemon item
079.png	0079_Repel.png	79	Repel	canonical	Pokemon item
080.png	0080_Sun_Stone.png	80	Sun Stone	canonical	Pokemon item
081.png	0081_Moon_Stone.png	81	Moon Stone	canonical	Pokemon item
082.png	0082_Fire_Stone.png	82	Fire Stone	canonical	Pokemon item
083.png	0083_Thunder_Stone.png	83	Thunder Stone	canonical	Pokemon item
084.png	0084_Water_Stone.png	84	Water Stone	canonical	Pokemon item
085.png	0085_Leaf_Stone.png	85	Leaf Stone	canonical	Pokemon item
086.png	0086_Tiny_Mushroom.png	86	Tiny Mushroom	canonical	Pokemon item
087.png	0087_Big_Mushroom.png	87	Big Mushroom	canonical	Pokemon item
088.png	0088_Pearl.png	88	Pearl	canonical	Pokemon item
089.png	0089_Big_Pearl.png	89	Big Pearl	canonical	Pokemon item
090.png	0090_Stardust.png	90	Stardust	canonical	Pokemon item
091.png	0091_Star_Piece.png	91	Star Piece	canonical	Pokemon item
092.png	0092_Nugget.png	92	Nugget	canonical	Pokemon item
093.png	0093_Heart_Scale.png	93	Heart Scale	canonical	Pokemon item
094.png	0094_Honey.png	94	Honey	canonical	Pokemon item
095.png	0095_Growth_Mulch.png	95	Growth Mulch	canonical	Pokemon item
096.png	0096_Damp_Mulch.png	96	Damp Mulch	canonical	Pokemon item
097.png	0097_Stable_Mulch.png	97	Stable Mulch	canonical	Pokemon item
098.png	0098_Gooey_Mulch.png	98	Gooey Mulch	canonical	Pokemon item
099.png	0099_Root_Fossil.png	99	Root Fossil	canonical	Pokemon item
100.png	0100_Claw_Fossil.png	100	Claw Fossil	canonical	Pokemon item
101.png	0101_Helix_Fossil.png	101	Helix Fossil	canonical	Pokemon item
102.png	0102_Dome_Fossil.png	102	Dome Fossil	canonical	Pokemon item
103.png	0103_Old_Amber.png	103	Old Amber	canonical	Pokemon item
104.png	0104_Armor_Fossil.png	104	Armor Fossil	canonical	Pokemon item
105.png	0105_Skull_Fossil.png	105	Skull Fossil	canonical	Pokemon item
106.png	0106_Rare_Bone.png	106	Rare Bone	canonical	Pokemon item
107.png	0107_Shiny_Stone.png	107	Shiny Stone	canonical	Pokemon item
108.png	0108_Dusk_Stone.png	108	Dusk Stone	canonical	Pokemon item
109.png	0109_Dawn_Stone.png	109	Dawn Stone	canonical	Pokemon item
110.png	0110_Oval_Stone.png	110	Oval Stone	canonical	Pokemon item
111.png	0111_Odd_Keystone.png	111	Odd Keystone	canonical	Pokemon item
112.png	0112_Griseous_Orb.png	112	Griseous Orb	canonical	Pokemon item
113.png	0113_Tea.png	113	Tea	canonical	Pokemon item
114.png	0114_Unused_Item_ID_114.png	114	Unused Item ID 114	unused/unnamed	Pokemon item
115.png	0115_Autograph.png	115	Autograph	canonical	Pokemon item
116.png	0116_Douse_Drive.png	116	Douse Drive	canonical	Pokemon item
117.png	0117_Shock_Drive.png	117	Shock Drive	canonical	Pokemon item
118.png	0118_Burn_Drive.png	118	Burn Drive	canonical	Pokemon item
119.png	0119_Chill_Drive.png	119	Chill Drive	canonical	Pokemon item
120.png	0120_Unused_Item_ID_120.png	120	Unused Item ID 120	unused/unnamed	Pokemon item
121.png	0121_Pokemon_Box_Link.png	121	Pokémon Box Link	canonical	Pokemon item
122.png	0122_Medicine_Pocket.png	122	Medicine Pocket	canonical	Pokemon item
123.png	0123_TM_Case.png	123	TM Case	canonical	Pokemon item
124.png	0124_Candy_Jar.png	124	Candy Jar	canonical	Pokemon item
125.png	0125_Power-Up_Pocket.png	125	Power-Up Pocket	canonical	Pokemon item
126.png	0126_Clothing_Trunk.png	126	Clothing Trunk	canonical	Pokemon item
127.png	0127_Catching_Pocket.png	127	Catching Pocket	canonical	Pokemon item
128.png	0128_Battle_Pocket.png	128	Battle Pocket	canonical	Pokemon item
129.png	0129_Unused_Item_ID_129.png	129	Unused Item ID 129	unused/unnamed	Pokemon item
130.png	0130_Unused_Item_ID_130.png	130	Unused Item ID 130	unused/unnamed	Pokemon item
131.png	0131_Unused_Item_ID_131.png	131	Unused Item ID 131	unused/unnamed	Pokemon item
132.png	0132_Unused_Item_ID_132.png	132	Unused Item ID 132	unused/unnamed	Pokemon item
133.png	0133_Unused_Item_ID_133.png	133	Unused Item ID 133	unused/unnamed	Pokemon item
134.png	0134_Sweet_Heart.png	134	Sweet Heart	canonical	Pokemon item
135.png	0135_Adamant_Orb.png	135	Adamant Orb	canonical	Pokemon item
136.png	0136_Lustrous_Orb.png	136	Lustrous Orb	canonical	Pokemon item
137.png	0137_Greet_Mail.png	137	Greet Mail	canonical	Pokemon item
138.png	0138_Favored_Mail.png	138	Favored Mail	canonical	Pokemon item
139.png	0139_RSVP_Mail.png	139	RSVP Mail	canonical	Pokemon item
140.png	0140_Thanks_Mail.png	140	Thanks Mail	canonical	Pokemon item
141.png	0141_Inquiry_Mail.png	141	Inquiry Mail	canonical	Pokemon item
142.png	0142_Like_Mail.png	142	Like Mail	canonical	Pokemon item
143.png	0143_Reply_Mail.png	143	Reply Mail	canonical	Pokemon item
144.png	0144_Bridge_Mail_S.png	144	Bridge Mail S	canonical	Pokemon item
145.png	0145_Bridge_Mail_D.png	145	Bridge Mail D	canonical	Pokemon item
146.png	0146_Bridge_Mail_T.png	146	Bridge Mail T	canonical	Pokemon item
147.png	0147_Bridge_Mail_V.png	147	Bridge Mail V	canonical	Pokemon item
148.png	0148_Bridge_Mail_M.png	148	Bridge Mail M	canonical	Pokemon item
149.png	0149_Cheri_Berry.png	149	Cheri Berry	canonical	Pokemon item
150.png	0150_Chesto_Berry.png	150	Chesto Berry	canonical	Pokemon item
151.png	0151_Pecha_Berry.png	151	Pecha Berry	canonical	Pokemon item
152.png	0152_Rawst_Berry.png	152	Rawst Berry	canonical	Pokemon item
153.png	0153_Aspear_Berry.png	153	Aspear Berry	canonical	Pokemon item
154.png	0154_Leppa_Berry.png	154	Leppa Berry	canonical	Pokemon item
155.png	0155_Oran_Berry.png	155	Oran Berry	canonical	Pokemon item
156.png	0156_Persim_Berry.png	156	Persim Berry	canonical	Pokemon item
157.png	0157_Lum_Berry.png	157	Lum Berry	canonical	Pokemon item
158.png	0158_Sitrus_Berry.png	158	Sitrus Berry	canonical	Pokemon item
159.png	0159_Figy_Berry.png	159	Figy Berry	canonical	Pokemon item
160.png	0160_Wiki_Berry.png	160	Wiki Berry	canonical	Pokemon item
161.png	0161_Mago_Berry.png	161	Mago Berry	canonical	Pokemon item
162.png	0162_Aguav_Berry.png	162	Aguav Berry	canonical	Pokemon item
163.png	0163_Iapapa_Berry.png	163	Iapapa Berry	canonical	Pokemon item
164.png	0164_Razz_Berry.png	164	Razz Berry	canonical	Pokemon item
165.png	0165_Bluk_Berry.png	165	Bluk Berry	canonical	Pokemon item
166.png	0166_Nanab_Berry.png	166	Nanab Berry	canonical	Pokemon item
167.png	0167_Wepear_Berry.png	167	Wepear Berry	canonical	Pokemon item
168.png	0168_Pinap_Berry.png	168	Pinap Berry	canonical	Pokemon item
169.png	0169_Pomeg_Berry.png	169	Pomeg Berry	canonical	Pokemon item
170.png	0170_Kelpsy_Berry.png	170	Kelpsy Berry	canonical	Pokemon item
171.png	0171_Qualot_Berry.png	171	Qualot Berry	canonical	Pokemon item
172.png	0172_Hondew_Berry.png	172	Hondew Berry	canonical	Pokemon item
173.png	0173_Grepa_Berry.png	173	Grepa Berry	canonical	Pokemon item
174.png	0174_Tamato_Berry.png	174	Tamato Berry	canonical	Pokemon item
175.png	0175_Cornn_Berry.png	175	Cornn Berry	canonical	Pokemon item
176.png	0176_Magost_Berry.png	176	Magost Berry	canonical	Pokemon item
177.png	0177_Rabuta_Berry.png	177	Rabuta Berry	canonical	Pokemon item
178.png	0178_Nomel_Berry.png	178	Nomel Berry	canonical	Pokemon item
179.png	0179_Spelon_Berry.png	179	Spelon Berry	canonical	Pokemon item
180.png	0180_Pamtre_Berry.png	180	Pamtre Berry	canonical	Pokemon item
181.png	0181_Watmel_Berry.png	181	Watmel Berry	canonical	Pokemon item
182.png	0182_Durin_Berry.png	182	Durin Berry	canonical	Pokemon item
183.png	0183_Belue_Berry.png	183	Belue Berry	canonical	Pokemon item
184.png	0184_Occa_Berry.png	184	Occa Berry	canonical	Pokemon item
185.png	0185_Passho_Berry.png	185	Passho Berry	canonical	Pokemon item
186.png	0186_Wacan_Berry.png	186	Wacan Berry	canonical	Pokemon item
187.png	0187_Rindo_Berry.png	187	Rindo Berry	canonical	Pokemon item
188.png	0188_Yache_Berry.png	188	Yache Berry	canonical	Pokemon item
189.png	0189_Chople_Berry.png	189	Chople Berry	canonical	Pokemon item
190.png	0190_Kebia_Berry.png	190	Kebia Berry	canonical	Pokemon item
191.png	0191_Shuca_Berry.png	191	Shuca Berry	canonical	Pokemon item
192.png	0192_Coba_Berry.png	192	Coba Berry	canonical	Pokemon item
193.png	0193_Payapa_Berry.png	193	Payapa Berry	canonical	Pokemon item
194.png	0194_Tanga_Berry.png	194	Tanga Berry	canonical	Pokemon item
195.png	0195_Charti_Berry.png	195	Charti Berry	canonical	Pokemon item
196.png	0196_Kasib_Berry.png	196	Kasib Berry	canonical	Pokemon item
197.png	0197_Haban_Berry.png	197	Haban Berry	canonical	Pokemon item
198.png	0198_Colbur_Berry.png	198	Colbur Berry	canonical	Pokemon item
199.png	0199_Babiri_Berry.png	199	Babiri Berry	canonical	Pokemon item
200.png	0200_Chilan_Berry.png	200	Chilan Berry	canonical	Pokemon item
201.png	0201_Liechi_Berry.png	201	Liechi Berry	canonical	Pokemon item
202.png	0202_Ganlon_Berry.png	202	Ganlon Berry	canonical	Pokemon item
203.png	0203_Salac_Berry.png	203	Salac Berry	canonical	Pokemon item
204.png	0204_Petaya_Berry.png	204	Petaya Berry	canonical	Pokemon item
205.png	0205_Apicot_Berry.png	205	Apicot Berry	canonical	Pokemon item
206.png	0206_Lansat_Berry.png	206	Lansat Berry	canonical	Pokemon item
207.png	0207_Starf_Berry.png	207	Starf Berry	canonical	Pokemon item
208.png	0208_Enigma_Berry.png	208	Enigma Berry	canonical	Pokemon item
209.png	0209_Micle_Berry.png	209	Micle Berry	canonical	Pokemon item
210.png	0210_Custap_Berry.png	210	Custap Berry	canonical	Pokemon item
211.png	0211_Jaboca_Berry.png	211	Jaboca Berry	canonical	Pokemon item
212.png	0212_Rowap_Berry.png	212	Rowap Berry	canonical	Pokemon item
213.png	0213_Bright_Powder.png	213	Bright Powder	canonical	Pokemon item
214.png	0214_White_Herb.png	214	White Herb	canonical	Pokemon item
215.png	0215_Macho_Brace.png	215	Macho Brace	canonical	Pokemon item
216.png	0216_Exp_Share.png	216	Exp. Share	canonical	Pokemon item
217.png	0217_Quick_Claw.png	217	Quick Claw	canonical	Pokemon item
218.png	0218_Soothe_Bell.png	218	Soothe Bell	canonical	Pokemon item
219.png	0219_Mental_Herb.png	219	Mental Herb	canonical	Pokemon item
220.png	0220_Choice_Band.png	220	Choice Band	canonical	Pokemon item
221.png	0221_Kings_Rock.png	221	King’s Rock	canonical	Pokemon item
222.png	0222_Silver_Powder.png	222	Silver Powder	canonical	Pokemon item
223.png	0223_Amulet_Coin.png	223	Amulet Coin	canonical	Pokemon item
224.png	0224_Cleanse_Tag.png	224	Cleanse Tag	canonical	Pokemon item
225.png	0225_Soul_Dew.png	225	Soul Dew	canonical	Pokemon item
226.png	0226_Deep_Sea_Tooth.png	226	Deep Sea Tooth	canonical	Pokemon item
227.png	0227_Deep_Sea_Scale.png	227	Deep Sea Scale	canonical	Pokemon item
228.png	0228_Smoke_Ball.png	228	Smoke Ball	canonical	Pokemon item
229.png	0229_Everstone.png	229	Everstone	canonical	Pokemon item
230.png	0230_Focus_Band.png	230	Focus Band	canonical	Pokemon item
231.png	0231_Lucky_Egg.png	231	Lucky Egg	canonical	Pokemon item
232.png	0232_Scope_Lens.png	232	Scope Lens	canonical	Pokemon item
233.png	0233_Metal_Coat.png	233	Metal Coat	canonical	Pokemon item
234.png	0234_Leftovers.png	234	Leftovers	canonical	Pokemon item
235.png	0235_Dragon_Scale.png	235	Dragon Scale	canonical	Pokemon item
236.png	0236_Light_Ball.png	236	Light Ball	canonical	Pokemon item
237.png	0237_Soft_Sand.png	237	Soft Sand	canonical	Pokemon item
238.png	0238_Hard_Stone.png	238	Hard Stone	canonical	Pokemon item
239.png	0239_Miracle_Seed.png	239	Miracle Seed	canonical	Pokemon item
240.png	0240_Black_Glasses.png	240	Black Glasses	canonical	Pokemon item
241.png	0241_Black_Belt.png	241	Black Belt	canonical	Pokemon item
242.png	0242_Magnet.png	242	Magnet	canonical	Pokemon item
243.png	0243_Mystic_Water.png	243	Mystic Water	canonical	Pokemon item
244.png	0244_Sharp_Beak.png	244	Sharp Beak	canonical	Pokemon item
245.png	0245_Poison_Barb.png	245	Poison Barb	canonical	Pokemon item
246.png	0246_Never-Melt_Ice.png	246	Never-Melt Ice	canonical	Pokemon item
247.png	0247_Spell_Tag.png	247	Spell Tag	canonical	Pokemon item
248.png	0248_Twisted_Spoon.png	248	Twisted Spoon	canonical	Pokemon item
249.png	0249_Charcoal.png	249	Charcoal	canonical	Pokemon item
250.png	0250_Dragon_Fang.png	250	Dragon Fang	canonical	Pokemon item
251.png	0251_Silk_Scarf.png	251	Silk Scarf	canonical	Pokemon item
252.png	0252_Upgrade.png	252	Upgrade	canonical	Pokemon item
253.png	0253_Shell_Bell.png	253	Shell Bell	canonical	Pokemon item
254.png	0254_Sea_Incense.png	254	Sea Incense	canonical	Pokemon item
255.png	0255_Lax_Incense.png	255	Lax Incense	canonical	Pokemon item
256.png	0256_Lucky_Punch.png	256	Lucky Punch	canonical	Pokemon item
257.png	0257_Metal_Powder.png	257	Metal Powder	canonical	Pokemon item
258.png	0258_Thick_Club.png	258	Thick Club	canonical	Pokemon item
259.png	0259_Leek.png	259	Leek	canonical	Pokemon item
260.png	0260_Red_Scarf.png	260	Red Scarf	canonical	Pokemon item
261.png	0261_Blue_Scarf.png	261	Blue Scarf	canonical	Pokemon item
262.png	0262_Pink_Scarf.png	262	Pink Scarf	canonical	Pokemon item
263.png	0263_Green_Scarf.png	263	Green Scarf	canonical	Pokemon item
264.png	0264_Yellow_Scarf.png	264	Yellow Scarf	canonical	Pokemon item
265.png	0265_Wide_Lens.png	265	Wide Lens	canonical	Pokemon item
266.png	0266_Muscle_Band.png	266	Muscle Band	canonical	Pokemon item
267.png	0267_Wise_Glasses.png	267	Wise Glasses	canonical	Pokemon item
268.png	0268_Expert_Belt.png	268	Expert Belt	canonical	Pokemon item
269.png	0269_Light_Clay.png	269	Light Clay	canonical	Pokemon item
270.png	0270_Life_Orb.png	270	Life Orb	canonical	Pokemon item
271.png	0271_Power_Herb.png	271	Power Herb	canonical	Pokemon item
272.png	0272_Toxic_Orb.png	272	Toxic Orb	canonical	Pokemon item
273.png	0273_Flame_Orb.png	273	Flame Orb	canonical	Pokemon item
274.png	0274_Quick_Powder.png	274	Quick Powder	canonical	Pokemon item
275.png	0275_Focus_Sash.png	275	Focus Sash	canonical	Pokemon item
276.png	0276_Zoom_Lens.png	276	Zoom Lens	canonical	Pokemon item
277.png	0277_Metronome.png	277	Metronome	canonical	Pokemon item
278.png	0278_Iron_Ball.png	278	Iron Ball	canonical	Pokemon item
279.png	0279_Lagging_Tail.png	279	Lagging Tail	canonical	Pokemon item
280.png	0280_Destiny_Knot.png	280	Destiny Knot	canonical	Pokemon item
281.png	0281_Black_Sludge.png	281	Black Sludge	canonical	Pokemon item
282.png	0282_Icy_Rock.png	282	Icy Rock	canonical	Pokemon item
283.png	0283_Smooth_Rock.png	283	Smooth Rock	canonical	Pokemon item
284.png	0284_Heat_Rock.png	284	Heat Rock	canonical	Pokemon item
285.png	0285_Damp_Rock.png	285	Damp Rock	canonical	Pokemon item
286.png	0286_Grip_Claw.png	286	Grip Claw	canonical	Pokemon item
287.png	0287_Choice_Scarf.png	287	Choice Scarf	canonical	Pokemon item
288.png	0288_Sticky_Barb.png	288	Sticky Barb	canonical	Pokemon item
289.png	0289_Power_Bracer.png	289	Power Bracer	canonical	Pokemon item
290.png	0290_Power_Belt.png	290	Power Belt	canonical	Pokemon item
291.png	0291_Power_Lens.png	291	Power Lens	canonical	Pokemon item
292.png	0292_Power_Band.png	292	Power Band	canonical	Pokemon item
293.png	0293_Power_Anklet.png	293	Power Anklet	canonical	Pokemon item
294.png	0294_Power_Weight.png	294	Power Weight	canonical	Pokemon item
295.png	0295_Shed_Shell.png	295	Shed Shell	canonical	Pokemon item
296.png	0296_Big_Root.png	296	Big Root	canonical	Pokemon item
297.png	0297_Choice_Specs.png	297	Choice Specs	canonical	Pokemon item
298.png	0298_Flame_Plate.png	298	Flame Plate	canonical	Pokemon item
299.png	0299_Splash_Plate.png	299	Splash Plate	canonical	Pokemon item
300.png	0300_Zap_Plate.png	300	Zap Plate	canonical	Pokemon item
301.png	0301_Meadow_Plate.png	301	Meadow Plate	canonical	Pokemon item
302.png	0302_Icicle_Plate.png	302	Icicle Plate	canonical	Pokemon item
303.png	0303_Fist_Plate.png	303	Fist Plate	canonical	Pokemon item
304.png	0304_Toxic_Plate.png	304	Toxic Plate	canonical	Pokemon item
305.png	0305_Earth_Plate.png	305	Earth Plate	canonical	Pokemon item
306.png	0306_Sky_Plate.png	306	Sky Plate	canonical	Pokemon item
307.png	0307_Mind_Plate.png	307	Mind Plate	canonical	Pokemon item
308.png	0308_Insect_Plate.png	308	Insect Plate	canonical	Pokemon item
309.png	0309_Stone_Plate.png	309	Stone Plate	canonical	Pokemon item
310.png	0310_Spooky_Plate.png	310	Spooky Plate	canonical	Pokemon item
311.png	0311_Draco_Plate.png	311	Draco Plate	canonical	Pokemon item
312.png	0312_Dread_Plate.png	312	Dread Plate	canonical	Pokemon item
313.png	0313_Iron_Plate.png	313	Iron Plate	canonical	Pokemon item
314.png	0314_Odd_Incense.png	314	Odd Incense	canonical	Pokemon item
315.png	0315_Rock_Incense.png	315	Rock Incense	canonical	Pokemon item
316.png	0316_Full_Incense.png	316	Full Incense	canonical	Pokemon item
317.png	0317_Wave_Incense.png	317	Wave Incense	canonical	Pokemon item
318.png	0318_Rose_Incense.png	318	Rose Incense	canonical	Pokemon item
319.png	0319_Luck_Incense.png	319	Luck Incense	canonical	Pokemon item
320.png	0320_Pure_Incense.png	320	Pure Incense	canonical	Pokemon item
321.png	0321_Protector.png	321	Protector	canonical	Pokemon item
322.png	0322_Electirizer.png	322	Electirizer	canonical	Pokemon item
323.png	0323_Magmarizer.png	323	Magmarizer	canonical	Pokemon item
324.png	0324_Dubious_Disc.png	324	Dubious Disc	canonical	Pokemon item
325.png	0325_Reaper_Cloth.png	325	Reaper Cloth	canonical	Pokemon item
326.png	0326_Razor_Claw.png	326	Razor Claw	canonical	Pokemon item
327.png	0327_Razor_Fang.png	327	Razor Fang	canonical	Pokemon item
328.png	0328_TM01.png	328	TM01	canonical	Pokemon item
329.png	0329_TM02.png	329	TM02	canonical	Pokemon item
330.png	0330_TM03.png	330	TM03	canonical	Pokemon item
331.png	0331_TM04.png	331	TM04	canonical	Pokemon item
332.png	0332_TM05.png	332	TM05	canonical	Pokemon item
333.png	0333_TM06.png	333	TM06	canonical	Pokemon item
334.png	0334_TM07.png	334	TM07	canonical	Pokemon item
335.png	0335_TM08.png	335	TM08	canonical	Pokemon item
336.png	0336_TM09.png	336	TM09	canonical	Pokemon item
337.png	0337_TM10.png	337	TM10	canonical	Pokemon item
338.png	0338_TM11.png	338	TM11	canonical	Pokemon item
339.png	0339_TM12.png	339	TM12	canonical	Pokemon item
340.png	0340_TM13.png	340	TM13	canonical	Pokemon item
341.png	0341_TM14.png	341	TM14	canonical	Pokemon item
342.png	0342_TM15.png	342	TM15	canonical	Pokemon item
343.png	0343_TM16.png	343	TM16	canonical	Pokemon item
344.png	0344_TM17.png	344	TM17	canonical	Pokemon item
345.png	0345_TM18.png	345	TM18	canonical	Pokemon item
346.png	0346_TM19.png	346	TM19	canonical	Pokemon item
347.png	0347_TM20.png	347	TM20	canonical	Pokemon item
348.png	0348_TM21.png	348	TM21	canonical	Pokemon item
349.png	0349_TM22.png	349	TM22	canonical	Pokemon item
350.png	0350_TM23.png	350	TM23	canonical	Pokemon item
351.png	0351_TM24.png	351	TM24	canonical	Pokemon item
352.png	0352_TM25.png	352	TM25	canonical	Pokemon item
353.png	0353_TM26.png	353	TM26	canonical	Pokemon item
354.png	0354_TM27.png	354	TM27	canonical	Pokemon item
355.png	0355_TM28.png	355	TM28	canonical	Pokemon item
356.png	0356_TM29.png	356	TM29	canonical	Pokemon item
357.png	0357_TM30.png	357	TM30	canonical	Pokemon item
358.png	0358_TM31.png	358	TM31	canonical	Pokemon item
359.png	0359_TM32.png	359	TM32	canonical	Pokemon item
360.png	0360_TM33.png	360	TM33	canonical	Pokemon item
361.png	0361_TM34.png	361	TM34	canonical	Pokemon item
362.png	0362_TM35.png	362	TM35	canonical	Pokemon item
363.png	0363_TM36.png	363	TM36	canonical	Pokemon item
364.png	0364_TM37.png	364	TM37	canonical	Pokemon item
365.png	0365_TM38.png	365	TM38	canonical	Pokemon item
366.png	0366_TM39.png	366	TM39	canonical	Pokemon item
367.png	0367_TM40.png	367	TM40	canonical	Pokemon item
368.png	0368_TM41.png	368	TM41	canonical	Pokemon item
369.png	0369_TM42.png	369	TM42	canonical	Pokemon item
370.png	0370_TM43.png	370	TM43	canonical	Pokemon item
371.png	0371_TM44.png	371	TM44	canonical	Pokemon item
372.png	0372_TM45.png	372	TM45	canonical	Pokemon item
373.png	0373_TM46.png	373	TM46	canonical	Pokemon item
374.png	0374_TM47.png	374	TM47	canonical	Pokemon item
375.png	0375_TM48.png	375	TM48	canonical	Pokemon item
376.png	0376_TM49.png	376	TM49	canonical	Pokemon item
377.png	0377_TM50.png	377	TM50	canonical	Pokemon item
378.png	0378_TM51.png	378	TM51	canonical	Pokemon item
379.png	0379_TM52.png	379	TM52	canonical	Pokemon item
380.png	0380_TM53.png	380	TM53	canonical	Pokemon item
381.png	0381_TM54.png	381	TM54	canonical	Pokemon item
382.png	0382_TM55.png	382	TM55	canonical	Pokemon item
383.png	0383_TM56.png	383	TM56	canonical	Pokemon item
